Region,Country,Year,Nationality wise number of Foreign Tourists Arrivals (FTAs) in India (UOM:Number) |Scaling Factor:1,Nationality wise average duration of stay by Foreign Tourists Arrivals (FTAs) in India (UOM:Day) |Scaling Factor:1
Africa,Kenya,"Calendar Year (Jan - Dec), 2020",12779.0,27.7
Africa,Mauritius,"Calendar Year (Jan - Dec), 2020",11410.0,18.1
Africa,Nigeria,"Calendar Year (Jan - Dec), 2020",3819.0,49.7
Africa,Others,"Calendar Year (Jan - Dec), 2020",29226.0,26.4
Africa,South Africa,"Calendar Year (Jan - Dec), 2020",12561.0,22.3
Africa,Sudan,"Calendar Year (Jan - Dec), 2020",9114.0,36.5
Africa,Tanzania,"Calendar Year (Jan - Dec), 2020",6501.0,28.6
South Asia,Afghanistan,"Calendar Year (Jan - Dec), 2020",47561.0,27.4
South Asia,Bangladesh,"Calendar Year (Jan - Dec), 2020",549273.0,17.8
South Asia,Bhutan,"Calendar Year (Jan - Dec), 2020",7901.0,14.0
South Asia,Iran,"Calendar Year (Jan - Dec), 2020",7090.0,28.1
South Asia,Maldives,"Calendar Year (Jan - Dec), 2020",14536.0,21.6
South Asia,Nepal,"Calendar Year (Jan - Dec), 2020",40822.0,19.8
South Asia,Pakistan,"Calendar Year (Jan - Dec), 2020",14232.0,63.8
South Asia,Sri Lanka,"Calendar Year (Jan - Dec), 2020",68646.0,15.0
South East Asia,Indonesia,"Calendar Year (Jan - Dec), 2020",11795.0,32.9
South East Asia,Malaysia,"Calendar Year (Jan - Dec), 2020",69897.0,12.4
South East Asia,Myanmar (Burma),"Calendar Year (Jan - Dec), 2020",35291.0,9.9
South East Asia,Others,"Calendar Year (Jan - Dec), 2020",3386.0,13.2
South East Asia,Phillippines,"Calendar Year (Jan - Dec), 2020",16052.0,24.1
South East Asia,Singapore,"Calendar Year (Jan - Dec), 2020",33747.0,13.7
South East Asia,Thailand,"Calendar Year (Jan - Dec), 2020",52626.0,13.7
South East Asia,Vietnam,"Calendar Year (Jan - Dec), 2020",8828.0,14.1
East Asia,China,"Calendar Year (Jan - Dec), 2020",39586.0,29.2
East Asia,Japan,"Calendar Year (Jan - Dec), 2020",48191.0,25.4
East Asia,Others,"Calendar Year (Jan - Dec), 2020",1335.0,22.3
East Asia,Republic Of China Taiwan,"Calendar Year (Jan - Dec), 2020",8969.0,19.7
East Asia,Republic Of Korea,"Calendar Year (Jan - Dec), 2020",32302.0,35.2
Australasia,Australia,"Calendar Year (Jan - Dec), 2020",86758.0,29.4
Australasia,New Zealand,"Calendar Year (Jan - Dec), 2020",16653.0,32.3
Australasia,Others,"Calendar Year (Jan - Dec), 2020",1636.0,27.5
West Asia,Bahrain,"Calendar Year (Jan - Dec), 2020",3429.0,17.2
West Asia,Iraq,"Calendar Year (Jan - Dec), 2020",17823.0,22.0
West Asia,Israel,"Calendar Year (Jan - Dec), 2020",17444.0,19.7
West Asia,Oman,"Calendar Year (Jan - Dec), 2020",15430.0,12.4
West Asia,Others,"Calendar Year (Jan - Dec), 2020",8980.0,18.9
West Asia,Saudi Arabia,"Calendar Year (Jan - Dec), 2020",10423.0,15.1
West Asia,Turkey,"Calendar Year (Jan - Dec), 2020",10853.0,10.3
West Asia,United Arab Emirates,"Calendar Year (Jan - Dec), 2020",7387.0,11.4
West Asia,Yemen,"Calendar Year (Jan - Dec), 2020",5882.0,97.9
Not classified elsewhere,Not Classified Elsewhere,"Calendar Year (Jan - Dec), 2020",3018.0,30.3
Central and South America,Argentina,"Calendar Year (Jan - Dec), 2020",4294.0,23.6
Central and South America,Brazil,"Calendar Year (Jan - Dec), 2020",8092.0,23.8
Central and South America,Mexico,"Calendar Year (Jan - Dec), 2020",4580.0,20.6
Central and South America,Others,"Calendar Year (Jan - Dec), 2020",10002.0,21.4
North America,Canada,"Calendar Year (Jan - Dec), 2019",,27.1
North America,Others,"Calendar Year (Jan - Dec), 2019",,
North America,United States Of America,"Calendar Year (Jan - Dec), 2019",,23.4
Western Europe,Austria,"Calendar Year (Jan - Dec), 2019",,16.8
Western Europe,Belgium,"Calendar Year (Jan - Dec), 2019",,17.5
Western Europe,Denmark,"Calendar Year (Jan - Dec), 2019",,13.8
Western Europe,Finland,"Calendar Year (Jan - Dec), 2019",,13.1
Western Europe,France,"Calendar Year (Jan - Dec), 2019",,18.2
Western Europe,Germany,"Calendar Year (Jan - Dec), 2019",,14.2
Western Europe,Greece,"Calendar Year (Jan - Dec), 2019",,11.9
Western Europe,Ireland,"Calendar Year (Jan - Dec), 2019",,18.6
Western Europe,Italy,"Calendar Year (Jan - Dec), 2019",,15.5
Western Europe,Netherlands,"Calendar Year (Jan - Dec), 2019",,14.4
Western Europe,Norway,"Calendar Year (Jan - Dec), 2019",,17.3
Western Europe,Others,"Calendar Year (Jan - Dec), 2019",,14.0
Western Europe,Portugal,"Calendar Year (Jan - Dec), 2019",,27.0
Western Europe,Spain,"Calendar Year (Jan - Dec), 2019",,15.7
Western Europe,Sweden,"Calendar Year (Jan - Dec), 2019",,17.1
Western Europe,Switzerland,"Calendar Year (Jan - Dec), 2019",,15.2
Western Europe,United Kingdom,"Calendar Year (Jan - Dec), 2019",,18.9
Eastern Europe,Czech Republic,"Calendar Year (Jan - Dec), 2019",,15.5
Eastern Europe,Hungary,"Calendar Year (Jan - Dec), 2019",,15.3
Eastern Europe,Kazakhstan,"Calendar Year (Jan - Dec), 2019",,14.4
Eastern Europe,Others,"Calendar Year (Jan - Dec), 2019",,14.1
Eastern Europe,Poland,"Calendar Year (Jan - Dec), 2019",,13.6
Eastern Europe,Russian Federation,"Calendar Year (Jan - Dec), 2019",,15.6
Eastern Europe,Ukraine,"Calendar Year (Jan - Dec), 2019",,18.2
Africa,Egypt,"Calendar Year (Jan - Dec), 2019",,8.8
Africa,Kenya,"Calendar Year (Jan - Dec), 2019",,20.1
Africa,Mauritius,"Calendar Year (Jan - Dec), 2019",,13.7
Africa,Nigeria,"Calendar Year (Jan - Dec), 2019",,29.2
Africa,Others,"Calendar Year (Jan - Dec), 2019",,20.7
Africa,South Africa,"Calendar Year (Jan - Dec), 2019",,15.8
Africa,Sudan,"Calendar Year (Jan - Dec), 2019",,22.0
Africa,United Republic Of Tanzan,"Calendar Year (Jan - Dec), 2019",,20.5
South Asia,Afghanistan,"Calendar Year (Jan - Dec), 2019",,22.2
